Frecuencia,Amplitud,Fase,Escala
50275.0,0.000250699,-104.97,0.001
50275.06688963211,0.000250341,-104.556,0.001
50275.133779264215,0.000247838,-105.168,0.0005
50275.20066889632,0.000245007,-104.61,0.0005
50275.26755852843,0.000244202,-104.976,0.0005
50275.33444816054,0.000242175,-105.192,0.0005
50275.40133779264,0.000239165,-104.304,0.0005
50275.468227424746,0.000237525,-104.784,0.0005
50275.535117056854,0.000235141,-104.244,0.0005
50275.60200668896,0.000241221,-104.682,0.0005
50275.66889632107,0.00023827,-103.104,0.0005
50275.73578595318,0.000237108,-103.482,0.0005
50275.802675585284,0.000229717,-103.602,0.0005
50275.86956521739,0.000233741,-103.398,0.0005
50275.9364548495,0.000228734,-103.008,0.0005
50276.00334448161,0.000226618,-103.326,0.0005
50276.070234113715,0.000223369,-102.702,0.0005
50276.13712374582,0.000223518,-102.684,0.0005
50276.20401337792,0.000220866,-102.288,0.0005
50276.27090301003,0.000219346,-104.19,0.0005
50276.33779264214,0.000218214,-102.696,0.0005
50276.404682274246,0.000214429,-103.176,0.0005
50276.47157190635,0.000212998,-103.038,0.0005
50276.53846153846,0.000213564,-102.792,0.0005
50276.60535117057,0.000208081,-102.372,0.0005
50276.672240802676,0.000205846,-102.186,0.0005
50276.739130434784,0.000203581,-102.012,0.0005
50276.80602006689,0.000201941,-102.852,0.0005
50276.872909699,0.00020072,-102.162,0.0005
50276.93979933111,0.000196517,-102.114,0.0005
50277.00668896321,0.000200511,-102.654,0.0005
50277.073578595315,0.000195296,-101.88,0.0005
50277.14046822742,0.000192792,-101.976,0.0005
50277.20735785953,0.00018865,-101.964,0.0005
50277.27424749164,0.000188769,-101.832,0.0005
50277.341137123745,0.00018716,-100.98,0.0005
50277.40802675585,0.000184209,-101.508,0.0005
50277.47491638796,0.000180841,-101.628,0.0005
50277.54180602007,0.000180216,-101.574,0.0005
50277.608695652176,0.000178845,-101.106,0.0005
50277.67558528428,0.000176103,-101.256,0.0005
50277.74247491639,0.00017503,-101.19,0.0005
50277.80936454849,0.000173838,-100.302,0.0005
50277.8762541806,0.000169338,-101.292,0.0005
50277.94314381271,0.000168712,-99.72,0.0005
50278.010033444814,0.000167877,-101.034,0.0005
50278.07692307692,0.000165195,-100.62,0.0005
50278.14381270903,0.000165314,-100.638,0.0005
50278.21070234114,0.000162662,-99.57,0.0005
50278.277591973245,0.000159145,-99.222,0.0005
50278.34448160535,0.000158937,-100.332,0.0005
50278.41137123746,0.000157566,-98.34,0.0005
50278.47826086957,0.000155033,-99.438,0.0005
50278.545150501675,0.000152201,-98.346,0.0005
50278.612040133776,0.000151784,-99.27,0.0005
50278.67892976588,0.000149132,-97.632,0.0005
50278.74581939799,0.000150979,-98.67,0.0005
50278.8127090301,0.000144751,-98.382,0.0005
50278.879598662206,0.000144304,-98.1,0.0005
50278.946488294314,0.000143648,-98.418,0.0005
50279.01337792642,0.000143976,-96.474,0.0005
50279.08026755853,0.000141085,-97.602,0.0005
50279.14715719064,0.000137747,-96.684,0.0005
50279.214046822744,0.000135542,-96.756,0.0005
50279.28093645485,0.000133426,-97.86,0.0005
50279.34782608696,0.000129492,-96.246,0.0005
50279.41471571906,0.000129373,-94.848,0.0005
50279.48160535117,0.000126989,-95.388,0.0005
50279.548494983275,0.00012684,-94.266,0.0005
50279.61538461538,0.000127555,-96.408,0.0002
50279.68227424749,0.000120223,-95.448,0.0002
50279.7491638796,0.000123286,-93.75,0.0002
50279.816053511706,0.000121944,-94.128,0.0002
50279.88294314381,0.000117764,-94.68,0.0002
50279.94983277592,0.00011503,-93.948,0.0002
50280.01672240803,0.000112415,-93.036,0.0002
50280.083612040136,0.000113585,-92.796,0.0002
50280.150501672244,0.00010869,-93.09,0.0002
50280.217391304344,0.000110992,-90.948,0.0002
50280.28428093645,0.00010752,-91.614,0.0002
50280.35117056856,0.000105665,-90.984,0.0002
50280.41806020067,0.000102565,-91.74,0.0002
50280.484949832775,0.000104025,-91.002,0.0002
50280.55183946488,9.88399e-05,-90.624,0.0002
50280.61872909699,9.88175e-05,-88.956,0.0002
50280.6856187291,9.7998e-05,-89.676,0.0002
50280.752508361205,9.37064e-05,-88.428,0.0002
50280.81939799331,9.39821e-05,-88.206,0.0002
50280.88628762542,8.86698e-05,-86.382,0.0002
50280.95317725753,9.40491e-05,-87.408,0.0002
50281.02006688963,8.90796e-05,-88.038,0.0002
50281.086956521736,8.83644e-05,-86.988,0.0002
50281.153846153844,8.69636e-05,-85.374,0.0002
50281.22073578595,8.36332e-05,-85.668,0.0002
50281.28762541806,8.36705e-05,-83.244,0.0002
50281.35451505017,8.17706e-05,-81.456,0.0002
50281.421404682274,8.05412e-05,-83.376,0.0002
50281.48829431438,7.84551e-05,-81.948,0.0002
50281.55518394649,7.73822e-05,-83.142,0.0002
50281.6220735786,7.36495e-05,-80.496,0.0002
50281.688963210705,7.12504e-05,-80.166,0.0002
50281.75585284281,7.31205e-05,-80.916,0.0002
50281.82274247491,6.5804e-05,-78.138,0.0002
50281.88963210702,6.43288e-05,-76.38,0.0002
50281.95652173913,6.59903e-05,-77.082,0.0002
50282.023411371236,6.42021e-05,-76.29,0.0002
50282.09030100334,6.37253e-05,-74.298,0.0002
50282.15719063545,6.1885e-05,-73.134,0.0002
50282.22408026756,6.0566e-05,-74.598,0.0002
50282.29096989967,5.72952e-05,-71.07,0.0002
50282.357859531774,6.10205e-05,-68.304,0.0002
50282.42474916388,5.85841e-05,-64.458,0.0002
50282.49163879599,5.18041e-05,-69.084,0.0002
50282.5585284281,5.77497e-05,-64.02,0.0002
50282.6254180602,5.2646e-05,-66.144,0.0002
50282.692307692305,5.23033e-05,-62.652,0.0002
50282.75919732441,5.16924e-05,-58.224,0.0002
50282.82608695652,4.69687e-05,-62.448,0.0001
50282.89297658863,4.64434e-05,-57.252,0.0001
50282.959866220735,4.68309e-05,-55.86,0.0001
50283.02675585284,4.74828e-05,-55.56,0.0001
50283.09364548495,4.3724e-05,-48.264,0.0001
50283.16053511706,4.32061e-05,-53.154,0.0001
50283.227424749166,4.51172e-05,-49.764,0.0001
50283.29431438127,4.13547e-05,-44.238,0.0001
50283.36120401338,4.14031e-05,-45.06,0.0001
50283.42809364548,3.9872e-05,-42.426,0.0001
50283.49498327759,4.21146e-05,-37.422,0.0001
50283.5618729097,3.96708e-05,-34.956,0.0001
50283.628762541804,4.2882e-05,-35.844,0.0001
50283.69565217391,3.88625e-05,-28.734,0.0001
50283.76254180602,4.03749e-05,-30.138,0.0001
50283.82943143813,4.15894e-05,-26.238,0.0001
50283.896321070235,3.96708e-05,-22.494,0.0001
50283.96321070234,3.77188e-05,-21.228,0.0001
50284.03010033445,4.2327e-05,-14.946,0.0001
50284.09698996656,3.74767e-05,-13.2,0.0001
50284.163879598666,4.25505e-05,-14.784,0.0001
50284.230769230766,4.42083e-05,-10.56,0.0001
50284.29765886287,4.22376e-05,-5.1,0.0001
50284.36454849498,4.12578e-05,-6.462,0.0001
50284.43143812709,4.33477e-05,-8.322,0.0001
50284.4983277592,4.59144e-05,-0.498,0.0001
50284.565217391304,4.10082e-05,-0.24,0.0001
50284.63210702341,4.42194e-05,7.38,0.0001
50284.69899665552,4.47149e-05,8.256,0.0001
50284.76588628763,4.53445e-05,9.096,0.0001
50284.832775919735,4.71699e-05,8.562,0.0001
50284.89966555184,4.79708e-05,11.358,0.0001
50284.96655518395,4.7833e-05,12.306,0.0001
50285.03344481605,5.2579e-05,14.004,0.0001
50285.10033444816,5.1562e-05,15.528,0.0001
