Frecuencia,Amplitud,Fase,Escala
50000.0,0.708622,0.402,1
50004.0404040404,0.708561,0.402,1
50008.080808080806,0.7085,0.39,1
50012.121212121216,0.708561,0.402,1
50016.16161616162,0.708561,0.396,1
50020.20202020202,0.708561,0.39,1
50024.242424242424,0.7085,0.396,1
50028.28282828283,0.7085,0.384,1
50032.32323232323,0.708561,0.39,1
50036.36363636364,0.7085,0.39,1
50040.40404040404,0.708561,0.396,1
50044.444444444445,0.7085,0.384,1
50048.48484848485,0.708561,0.39,1
50052.52525252525,0.7085,0.384,1
50056.56565656565,0.708439,0.39,1
50060.606060606064,0.7085,0.39,1
50064.64646464647,0.7085,0.384,1
50068.68686868687,0.7085,0.384,1
50072.72727272727,0.708439,0.39,1
50076.767676767675,0.708439,0.372,1
50080.80808080808,0.708439,0.378,1
50084.84848484849,0.708317,0.366,1
50088.88888888889,0.708317,0.336,1
50092.92929292929,0.707706,0.312,1
50096.969696969696,0.70612,0.468,1
50101.0101010101,0.708134,0.486,1
50105.0505050505,0.708378,0.444,1
50109.09090909091,0.7085,0.432,1
50113.131313131315,0.7085,0.42,1
50117.17171717172,0.7085,0.42,1
50121.21212121212,0.708561,0.42,1
50125.25252525252,0.7085,0.414,1
50129.292929292926,0.708561,0.42,1
50133.333333333336,0.7085,0.402,1
50137.37373737374,0.7085,0.414,1
50141.41414141414,0.7085,0.408,1
50145.454545454544,0.7085,0.402,1
50149.49494949495,0.7085,0.414,1
50153.53535353536,0.708561,0.408,1
50157.57575757576,0.708561,0.408,1
50161.61616161616,0.7085,0.402,1
50165.656565656565,0.7085,0.414,1
50169.69696969697,0.7085,0.408,1
50173.73737373737,0.7085,0.402,1
50177.77777777778,0.708561,0.402,1
50181.818181818184,0.7085,0.402,1
50185.85858585859,0.7085,0.408,1
50189.89898989899,0.7085,0.408,1
50193.93939393939,0.708561,0.402,1
50197.979797979795,0.708561,0.414,1
50202.020202020205,0.708561,0.402,1
50206.06060606061,0.708561,0.402,1
50210.10101010101,0.7085,0.408,1
50214.14141414141,0.708561,0.39,1
50218.181818181816,0.7085,0.414,1
50222.22222222222,0.7085,0.408,1
50226.26262626263,0.7085,0.396,1
50230.30303030303,0.7085,0.402,1
50234.343434343435,0.708561,0.408,1
50238.38383838384,0.7085,0.402,1
50242.42424242424,0.7085,0.402,1
50246.46464646464,0.7085,0.414,1
50250.50505050505,0.708439,0.39,1
50254.545454545456,0.708561,0.402,1
50258.58585858586,0.7085,0.402,1
50262.62626262626,0.7085,0.396,1
50266.666666666664,0.7085,0.408,1
50270.707070707074,0.7085,0.39,1
50274.74747474748,0.7085,0.408,1
50278.78787878788,0.7085,0.408,1
50282.82828282828,0.7085,0.396,1
50286.868686868685,0.7085,0.414,1
50290.90909090909,0.7085,0.408,1
50294.9494949495,0.708561,0.402,1
50298.9898989899,0.708439,0.402,1
50303.030303030304,0.7085,0.414,1
50307.07070707071,0.7085,0.408,1
50311.11111111111,0.7085,0.408,1
50315.15151515151,0.7085,0.408,1
50319.19191919192,0.7085,0.402,1
50323.232323232325,0.7085,0.402,1
50327.27272727273,0.7085,0.408,1
50331.31313131313,0.7085,0.402,1
50335.35353535353,0.708561,0.408,1
50339.393939393936,0.7085,0.402,1
50343.43434343435,0.7085,0.408,1
50347.47474747475,0.708561,0.408,1
50351.51515151515,0.708561,0.396,1
50355.555555555555,0.7085,0.408,1
50359.59595959596,0.7085,0.408,1
50363.63636363636,0.708561,0.402,1
50367.67676767677,0.708561,0.402,1
50371.71717171717,0.7085,0.408,1
50375.757575757576,0.708561,0.402,1
50379.79797979798,0.7085,0.402,1
50383.83838383838,0.7085,0.414,1
50387.878787878784,0.708561,0.396,1
50391.919191919194,0.7085,0.408,1
50395.9595959596,0.7085,0.402,1
50400.0,0.708622,0.396,1
