Frecuencia,Amplitud,Fase,Escala
50000.0,0.0148316,64.128,1.0
50000.4004004004,0.0148316,64.182,1.0
50000.800800800804,0.0148926,64.122,1.0
50001.2012012012,0.0148926,64.062,1.0
50001.6016016016,0.0149537,64.116,1.0
50002.002002002,0.0149537,64.062,1.0
50002.402402402404,0.0150147,64.116,1.0
50002.802802802806,0.0150757,64.11,1.0
50003.2032032032,0.0150757,64.17,1.0
50003.6036036036,0.0151978,64.11,1.0
50004.004004004004,0.0151978,64.05,1.0
50004.404404404406,0.0152588,64.104,1.0
50004.80480480481,0.0153199,64.104,1.0
50005.2052052052,0.0153199,64.158,1.0
50005.605605605604,0.0153809,64.098,1.0
50006.006006006006,0.015442,64.044,1.0
50006.40640640641,0.015442,64.098,1.0
50006.80680680681,0.015564,64.092,1.0
50007.207207207204,0.015564,64.038,1.0
50007.607607607606,0.0156251,64.092,1.0
50008.00800800801,0.0156862,64.086,1.0
50008.40840840841,0.0157472,64.032,1.0
50008.80880880881,0.0157472,64.086,1.0
50009.209209209206,0.0158082,64.08,1.0
50009.60960960961,0.0158693,64.026,1.0
50010.01001001001,0.0159303,64.08,1.0
50010.41041041041,0.0159303,64.026,1.0
50010.81081081081,0.0160524,64.02,1.0
50011.21121121121,0.0160524,63.966,1.0
50011.61161161161,0.0161134,64.02,1.0
50012.01201201201,0.0161744,64.014,1.0
50012.412412412414,0.0162355,64.014,1.0
50012.812812812816,0.0162965,63.96,1.0
50013.21321321321,0.0163575,64.008,1.0
50013.61361361361,0.0164186,64.008,1.0
50014.014014014014,0.0164186,63.954,1.0
50014.414414414416,0.0164796,63.954,1.0
50014.81481481482,0.0165406,64.002,1.0
50015.21521521521,0.0166627,64.002,1.0
50015.615615615614,0.0166627,63.948,1.0
50016.016016016016,0.0167238,63.942,1.0
50016.41641641642,0.0167848,63.894,1.0
50016.81681681682,0.0168458,63.99,1.0
50017.217217217214,0.0169069,63.942,1.0
50017.617617617616,0.0169679,63.936,1.0
50018.01801801802,0.0170289,63.936,1.0
50018.41841841842,0.01709,63.882,1.0
50018.81881881882,0.017151,63.882,1.0
50019.219219219216,0.017212,63.828,1.0
50019.61961961962,0.0172731,63.93,1.0
50020.02002002002,0.0173341,63.93,1.0
50020.42042042042,0.0173951,63.924,1.0
50020.82082082082,0.0174562,63.876,1.0
50021.22122122122,0.0175172,63.87,1.0
50021.62162162162,0.0175782,63.87,1.0
50022.02202202202,0.0176393,63.87,1.0
50022.42242242242,0.0177613,63.816,1.0
50022.822822822825,0.0178224,63.816,1.0
50023.22322322322,0.0178834,63.816,1.0
50023.62362362362,0.0179445,63.816,1.0
50024.024024024024,0.0180055,63.81,1.0
50024.424424424426,0.0181276,63.81,1.0
50024.82482482483,0.0181886,63.81,1.0
50025.22522522522,0.0182496,63.81,1.0
50025.625625625624,0.0183107,63.804,1.0
50026.026026026026,0.0183717,63.804,1.0
50026.42642642643,0.0184938,63.804,1.0
50026.82682682683,0.0185548,63.804,1.0
50027.227227227224,0.0186158,63.798,1.0
50027.627627627626,0.0186769,63.798,1.0
50028.02802802803,0.0187989,63.708,1.0
50028.42842842843,0.01886,63.708,1.0
50028.82882882883,0.018921,63.702,1.0
