Frecuencias,Tiempo,VoltajeCH1,VoltajeCH2,ResolucionVCH1,ResolucionVCH2
11748975.549395302,-2.5e-07,0.5,0.0064,0.02,0.0008
11748975.549395302,-2.498e-07,0.5,0.007200000000000001,0.02,0.0008
11748975.549395302,-2.496e-07,0.52,0.008,0.02,0.0008
11748975.549395302,-2.494e-07,0.52,0.008,0.02,0.0008
11748975.549395302,-2.492e-07,0.54,0.008,0.02,0.0008
11748975.549395302,-2.4899999999999997e-07,0.56,0.008,0.02,0.0008
11748975.549395302,-2.488e-07,0.56,0.0088,0.02,0.0008
11748975.549395302,-2.486e-07,0.58,0.0088,0.02,0.0008
11748975.549395302,-2.484e-07,0.58,0.008,0.02,0.0008
11748975.549395302,-2.482e-07,0.6,0.008,0.02,0.0008
11748975.549395302,-2.48e-07,0.62,0.008,0.02,0.0008
11748975.549395302,-2.478e-07,0.62,0.008,0.02,0.0008
11748975.549395302,-2.4759999999999997e-07,0.64,0.008,0.02,0.0008
11748975.549395302,-2.474e-07,0.66,0.008,0.02,0.0008
11748975.549395302,-2.472e-07,0.66,0.008,0.02,0.0008
11748975.549395302,-2.47e-07,0.68,0.008,0.02,0.0008
11748975.549395302,-2.468e-07,0.68,0.008,0.02,0.0008
11748975.549395302,-2.466e-07,0.68,0.0088,0.02,0.0008
11748975.549395302,-2.464e-07,0.68,0.0088,0.02,0.0008
11748975.549395302,-2.4619999999999997e-07,0.68,0.0088,0.02,0.0008
11748975.549395302,-2.46e-07,0.68,0.0088,0.02,0.0008
11748975.549395302,-2.458e-07,0.68,0.0088,0.02,0.0008
11748975.549395302,-2.456e-07,0.68,0.009600000000000001,0.02,0.0008
11748975.549395302,-2.454e-07,0.7000000000000001,0.009600000000000001,0.02,0.0008
11748975.549395302,-2.452e-07,0.7000000000000001,0.009600000000000001,0.02,0.0008
11748975.549395302,-2.45e-07,0.72,0.010400000000000001,0.02,0.0008
11748975.549395302,-2.4479999999999997e-07,0.72,0.010400000000000001,0.02,0.0008
11748975.549395302,-2.446e-07,0.72,0.0112,0.02,0.0008
11748975.549395302,-2.444e-07,0.74,0.0112,0.02,0.0008
11748975.549395302,-2.442e-07,0.74,0.0112,0.02,0.0008
11748975.549395302,-2.44e-07,0.76,0.0112,0.02,0.0008
11748975.549395302,-2.438e-07,0.76,0.0112,0.02,0.0008
11748975.549395302,-2.436e-07,0.78,0.0112,0.02,0.0008
11748975.549395302,-2.4339999999999997e-07,0.8,0.0112,0.02,0.0008
11748975.549395302,-2.432e-07,0.8,0.010400000000000001,0.02,0.0008
11748975.549395302,-2.43e-07,0.8200000000000001,0.010400000000000001,0.02,0.0008
