Frecuencias,Tiempo,VoltajeCH1,VoltajeCH2,ResolucionVCH1,ResolucionVCH2
150200.0,-1.25e-05,3.68,-0.036000000000000004,0.08,0.0008
150200.0,-1.249e-05,3.7600000000000002,-0.036000000000000004,0.08,0.0008
150200.0,-1.248e-05,3.84,-0.0368,0.08,0.0008
150200.0,-1.2470000000000001e-05,3.84,-0.036000000000000004,0.08,0.0008
150200.0,-1.2460000000000001e-05,3.84,-0.036000000000000004,0.08,0.0008
150200.0,-1.2450000000000001e-05,3.92,-0.036000000000000004,0.08,0.0008
150200.0,-1.2440000000000001e-05,3.92,-0.036000000000000004,0.08,0.0008
150200.0,-1.2430000000000001e-05,3.92,-0.0352,0.08,0.0008
150200.0,-1.2420000000000001e-05,4.0,-0.036000000000000004,0.08,0.0008
150200.0,-1.241e-05,4.0,-0.0368,0.08,0.0008
150200.0,-1.24e-05,4.0,-0.036000000000000004,0.08,0.0008
150200.0,-1.239e-05,4.08,-0.0368,0.08,0.0008
150200.0,-1.238e-05,4.08,-0.0368,0.08,0.0008
150200.0,-1.237e-05,4.16,-0.0368,0.08,0.0008
150200.0,-1.236e-05,4.08,-0.036000000000000004,0.08,0.0008
150200.0,-1.235e-05,4.16,-0.0352,0.08,0.0008
150200.0,-1.234e-05,4.24,-0.0352,0.08,0.0008
150200.0,-1.233e-05,4.24,-0.0352,0.08,0.0008
150200.0,-1.232e-05,4.24,-0.0352,0.08,0.0008
150200.0,-1.231e-05,4.24,-0.0352,0.08,0.0008
150200.0,-1.23e-05,4.32,-0.0352,0.08,0.0008
150200.0,-1.2290000000000001e-05,4.32,-0.036000000000000004,0.08,0.0008
150200.0,-1.2280000000000001e-05,4.32,-0.036000000000000004,0.08,0.0008
150200.0,-1.2270000000000001e-05,4.4,-0.0352,0.08,0.0008
150200.0,-1.2260000000000001e-05,4.4,-0.036000000000000004,0.08,0.0008
150200.0,-1.2250000000000001e-05,4.4,-0.0344,0.08,0.0008
