Tiempo,VoltajeCH1,VoltajeCH2,ResolucionVCH1,ResolucionVCH2
-5e-05,-1.02,0.004,0.02,0.0004
-4.996e-05,-1.02,0.0032,0.02,0.0004
-4.992e-05,-1.02,0.0032,0.02,0.0004
-4.9880000000000004e-05,-1.0,0.0032,0.02,0.0004
-4.9840000000000004e-05,-1.0,0.0048000000000000004,0.02,0.0004
-4.9800000000000004e-05,-0.98,0.0064,0.02,0.0004
-4.9760000000000005e-05,-1.0,0.0044,0.02,0.0004
-4.9720000000000005e-05,-1.0,0.0004,0.02,0.0004
-4.9680000000000005e-05,-1.0,0.0,0.02,0.0004
-4.964e-05,-1.04,0.0028,0.02,0.0004
-4.96e-05,-1.02,0.004,0.02,0.0004
-4.956e-05,-1.0,0.004,0.02,0.0004
-4.952e-05,-1.02,0.0044,0.02,0.0004
-4.948e-05,-1.04,0.0032,0.02,0.0004
-4.944e-05,-1.0,0.0024000000000000002,0.02,0.0004
-4.94e-05,-1.02,-0.0012000000000000001,0.02,0.0004
-4.936e-05,-1.02,-0.0016,0.02,0.0004
-4.932e-05,-1.0,0.0016,0.02,0.0004
-4.928e-05,-1.02,0.0012000000000000001,0.02,0.0004
-4.924e-05,-1.02,-0.0032,0.02,0.0004
-4.92e-05,-1.04,-0.0012000000000000001,0.02,0.0004
-4.9160000000000004e-05,-1.02,0.0032,0.02,0.0004
-4.9120000000000004e-05,-1.02,0.0056,0.02,0.0004
-4.9080000000000004e-05,-1.0,0.0048000000000000004,0.02,0.0004
-4.9040000000000005e-05,-1.0,0.0028,0.02,0.0004
-4.9000000000000005e-05,-1.0,-0.0008,0.02,0.0004
-4.8960000000000006e-05,-1.0,0.0,0.02,0.0004
-4.892e-05,-1.0,0.0032,0.02,0.0004
-4.888e-05,-1.0,0.002,0.02,0.0004
-4.884e-05,-0.98,-0.0008,0.02,0.0004
-4.88e-05,-1.02,-0.0008,0.02,0.0004
-4.876e-05,-0.98,0.0004,0.02,0.0004
-4.872e-05,-1.0,0.0028,0.02,0.0004
-4.868e-05,-1.0,0.0028,0.02,0.0004
-4.864e-05,-1.0,0.0032,0.02,0.0004
-4.86e-05,-1.0,0.0032,0.02,0.0004
-4.856e-05,-0.98,0.005200000000000001,0.02,0.0004
-4.852e-05,-0.98,0.0044,0.02,0.0004
-4.8480000000000003e-05,-1.0,-0.0024000000000000002,0.02,0.0004
-4.8440000000000004e-05,-1.02,-0.002,0.02,0.0004
-4.8400000000000004e-05,-1.04,0.0012000000000000001,0.02,0.0004
-4.8360000000000005e-05,-1.02,0.0004,0.02,0.0004
-4.8320000000000005e-05,-1.04,-0.0012000000000000001,0.02,0.0004
-4.8280000000000005e-05,-1.0,-0.0008,0.02,0.0004
-4.824e-05,-1.02,0.0012000000000000001,0.02,0.0004
-4.82e-05,-1.0,0.004,0.02,0.0004
-4.816e-05,-1.02,0.0032,0.02,0.0004
-4.812e-05,-1.02,-0.0004,0.02,0.0004
-4.808e-05,-1.0,-0.0036000000000000003,0.02,0.0004
-4.804e-05,-1.02,-0.0036000000000000003,0.02,0.0004
-4.8e-05,-1.0,-0.0012000000000000001,0.02,0.0004
-4.796e-05,-1.02,-0.0004,0.02,0.0004
-4.792e-05,-1.0,-0.0008,0.02,0.0004
-4.788e-05,-1.04,-0.0008,0.02,0.0004
-4.784e-05,-1.04,0.0028,0.02,0.0004
-4.78e-05,-0.98,0.004,0.02,0.0004
-4.7760000000000004e-05,-1.0,0.004,0.02,0.0004
-4.7720000000000004e-05,-1.0,0.0044,0.02,0.0004
-4.7680000000000004e-05,-1.02,0.0056,0.02,0.0004
-4.7640000000000005e-05,-1.02,0.0036000000000000003,0.02,0.0004
-4.7600000000000005e-05,-1.0,-0.0008,0.02,0.0004
-4.7560000000000005e-05,-1.02,-0.0012000000000000001,0.02,0.0004
-4.7520000000000006e-05,-1.02,0.0012000000000000001,0.02,0.0004
-4.748e-05,-1.02,0.004,0.02,0.0004
-4.744e-05,-1.0,0.0028,0.02,0.0004
-4.74e-05,-1.04,0.0008,0.02,0.0004
-4.736e-05,-1.02,0.0008,0.02,0.0004
-4.732e-05,-1.02,0.0032,0.02,0.0004
-4.728e-05,-1.02,0.006,0.02,0.0004
-4.724e-05,-1.02,0.0032,0.02,0.0004
-4.72e-05,-1.0,-0.002,0.02,0.0004
-4.716e-05,-1.04,-0.005200000000000001,0.02,0.0004
-4.712e-05,-1.02,-0.0028,0.02,0.0004
-4.708e-05,-1.04,-0.0012000000000000001,0.02,0.0004
-4.7040000000000004e-05,-1.02,0.0004,0.02,0.0004
-4.7000000000000004e-05,-1.02,-0.0016,0.02,0.0004
-4.6960000000000004e-05,-1.02,-0.0016,0.02,0.0004
-4.6920000000000005e-05,-1.0,0.0016,0.02,0.0004
-4.6880000000000005e-05,-1.0,0.0,0.02,0.0004
-4.6840000000000006e-05,-0.98,-0.0036000000000000003,0.02,0.0004
-4.68e-05,-0.98,-0.004,0.02,0.0004
-4.676e-05,-1.02,-0.0028,0.02,0.0004
-4.672e-05,-1.02,-0.0036000000000000003,0.02,0.0004
-4.668e-05,-1.02,-0.0064,0.02,0.0004
-4.664e-05,-1.02,-0.0044,0.02,0.0004
-4.66e-05,-1.04,0.0004,0.02,0.0004
-4.656e-05,-1.02,0.005200000000000001,0.02,0.0004
-4.652e-05,-1.02,0.006,0.02,0.0004
